influencer_id,platform,date,URL,caption,reach,likes,comments 
65,YouTube,2024-08-04,url65,Super healthy,8200,670,67
66,Instagram,2024-08-05,url66,Great for nutrition,6300,530,53
67,YouTube,2024-08-06,url67,Very nutritious,9400,730,73
68,Instagram,2024-08-07,url68,So nutritious,7300,630,63
69,Twitter,2024-08-08,url69,Very balanced,5300,430,43
70,YouTube,2024-08-09,url70,Super balanced,8300,680,68
71,Instagram,2024-08-10,url71,Great for diet,6400,540,54
72,YouTube,2024-08-11,url72,Very diet-friendly,9500,740,74
73,Instagram,2024-08-12,url73,So diet-friendly,7400,640,64
74,Twitter,2024-08-13,url74,Very light,5400,440,44
75,YouTube,2024-08-14,url75,Super light,8400,690,69
76,Instagram,2024-08-15,url76,Great for weight loss,6500,550,55
77,YouTube,2024-08-16,url77,Very effective for weight loss,9600,750,75
78,Instagram,2024-08-17,url78,So effective for weight loss,7500,650,65
79,Twitter,2024-08-18,url79,Very easy to lose weight,5500,450,45
80,YouTube,2024-08-19,url80,Super easy to lose weight,8500,700,70
81,Instagram,2024-08-20,url81,Great for gains,6600,560,56
82,YouTube,2024-08-21,url82,Very gainful,9700,760,76
83,Instagram,2024-08-22,url83,So gainful,7600,660,66
84,Twitter,2024-08-23,url84,Very productive,5600,460,46
85,YouTube,2024-08-24,url85,Super productive,8600,710,71
86,Instagram,2024-08-25,url86,Great for stamina,6700,570,57
87,YouTube,2024-08-26,url87,Very enduring,9800,770,77
88,Instagram,2024-08-27,url88,So enduring,7700,670,67
89,Twitter,2024-08-28,url89,Very lasting,5700,470,47
90,YouTube,2024-08-29,url90,Super lasting,8700,720,72
91,Instagram,2024-08-30,url91,Great for endurance,6800,580,58
92,YouTube,2024-08-31,url92,Very enduring,9900,780,78
93,Instagram,2024-09-01,url93,So enduring,7800,680,68
94,Twitter,2024-09-02,url94,Very persistent,5800,480,48
95,YouTube,2024-09-03,url95,Super persistent,8800,730,73
96,Instagram,2024-09-04,url96,Great for persistence,6900,590,59
97,YouTube,2024-09-05,url97,Very persistent,10000,790,79
98,Instagram,2024-09-06,url98,So persistent,7900,690,69
99,Twitter,2024-09-07,url99,Very determined,5900,490,49
100,YouTube,2024-09-08,url100,Super determined,8900,740,74 
